top - 14:49:33 up 42 min,  1 user,  load average: 0,67, 0,43, 0,33
Tasks: 314 total,   1 running, 313 sleeping,   0 stopped,   0 zombie
%Cpu(s):  5,1 us,  2,2 sy,  0,0 ni, 92,8 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
MiB Mem :   7856,4 total,   4350,6 free,   1268,6 used,   2237,2 buff/cache
MiB Swap:   1335,2 total,   1335,2 free,      0,0 used.   6165,5 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  15824 root      20   0  408672  18856  11088 S  37,5   0,2   0:00.06 gst-lau+
   3171 christi+  20   0  757996  53688  27284 S   6,2   0,7   1:10.62 Xorg
   3327 christi+  20   0 4608420 232184  83040 S   6,2   2,9   1:11.21 gnome-s+
  15822 root      20   0   20620   3980   3336 R   6,2   0,0   0:00.02 top
      1 root      20   0  168648  12652   8508 S   0,0   0,2   0:02.09 systemd
      2 root      20   0       0      0      0 S   0,0   0,0   0:00.00 kthreadd
      3 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 rcu_gp
      4 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 rcu_par+
      6 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
      9 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 mm_perc+
     10 root      20   0       0      0      0 S   0,0   0,0   0:00.00 rcu_tas+
     11 root      20   0       0      0      0 S   0,0   0,0   0:00.00 rcu_tas+
     12 root      20   0       0      0      0 S   0,0   0,0   0:00.24 ksoftir+
     13 root      20   0       0      0      0 I   0,0   0,0   0:03.40 rcu_sch+
     14 root      rt   0       0      0      0 S   0,0   0,0   0:00.01 migrati+
     15 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
     16 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/0
     17 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/1
     18 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
     19 root      rt   0       0      0      0 S   0,0   0,0   0:00.12 migrati+
     20 root      20   0       0      0      0 S   0,0   0,0   0:00.11 ksoftir+
