top - 11:05:46 up  1:39,  1 user,  load average: 0,17, 0,33, 0,34
Tasks: 322 total,   1 running, 321 sleeping,   0 stopped,   0 zombie
%Cpu(s): 12,4 us,  3,6 sy,  0,0 ni, 83,9 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
MiB Mem :   7856,4 total,   2968,8 free,   1621,7 used,   3265,9 buff/cache
MiB Swap:   1335,2 total,   1335,2 free,      0,0 used.   5748,7 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  38622 root      20   0  431088  49668  11128 S  93,8   0,6   0:00.15 gst-lau+
   2069 asterisk  20   0 4380948  76336  39616 S   6,2   0,9   1:00.60 asterisk
  35653 root      20   0       0      0      0 I   6,2   0,0   0:03.02 kworker+
  38620 root      20   0   20624   4240   3524 R   6,2   0,1   0:00.01 top
      1 root      20   0  168320  12444   8484 S   0,0   0,2   0:02.43 systemd
      2 root      20   0       0      0      0 S   0,0   0,0   0:00.00 kthreadd
      3 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 rcu_gp
      4 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 rcu_par+
      6 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
      9 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 mm_perc+
     10 root      20   0       0      0      0 S   0,0   0,0   0:00.00 rcu_tas+
     11 root      20   0       0      0      0 S   0,0   0,0   0:00.00 rcu_tas+
     12 root      20   0       0      0      0 S   0,0   0,0   0:00.40 ksoftir+
     13 root      20   0       0      0      0 I   0,0   0,0   0:08.10 rcu_sch+
     14 root      rt   0       0      0      0 S   0,0   0,0   0:00.03 migrati+
     15 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
     16 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/0
     17 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/1
     18 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
     19 root      rt   0       0      0      0 S   0,0   0,0   0:00.14 migrati+
     20 root      20   0       0      0      0 S   0,0   0,0   0:00.40 ksoftir+
